RESPONDENT_ID,V1_x,POL_BELIEFS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
10,2010,3.0,1.0,1.0,1.0,3.0,3.0,3.0
11,2010,0.0,,,,1.0,1.0,1.0
13,2010,4.0,0.0,0.0,0.0,5.0,5.0,5.0
16,2010,2.0,,,,1.0,1.0,5.0
22,2010,2.0,,,,4.0,1.0,5.0
24,2010,1.0,1.0,1.0,1.0,5.0,5.0,1.0
27,2010,2.0,0.0,1.0,0.0,5.0,4.0,3.0
29,2010,2.0,,,,1.0,4.0,4.0
30,2010,0.0,,,,5.0,5.0,2.0
33,2010,0.0,1.0,0.0,0.0,5.0,5.0,5.0
35,2010,3.0,0.0,0.0,1.0,5.0,5.0,4.0
36,2010,0.0,1.0,1.0,1.0,2.0,2.0,2.0
39,2010,1.0,,,,3.0,1.0,5.0
42,2010,3.0,0.0,0.0,0.0,4.0,4.0,4.0
43,2010,3.0,0.0,0.0,0.0,2.0,3.0,5.0
44,2010,1.0,0.0,0.0,1.0,4.0,5.0,4.0
46,2010,2.0,1.0,0.0,0.0,2.0,4.0,5.0
47,2010,3.0,0.0,0.0,0.0,4.0,4.0,4.0
49,2010,3.0,1.0,1.0,1.0,2.0,3.0,4.0
51,2010,3.0,0.0,0.0,0.0,4.0,4.0,4.0
53,2010,2.0,1.0,1.0,1.0,,,
57,2010,2.0,0.0,0.0,0.0,5.0,3.0,4.0
58,2010,2.0,,,,4.0,5.0,5.0
59,2010,2.0,0.0,0.0,0.0,2.0,1.0,2.0
60,2010,4.0,1.0,1.0,1.0,,,
61,2010,3.0,,,,4.0,4.0,3.0
64,2010,3.0,,,,,,
68,2010,3.0,0.0,1.0,1.0,2.0,1.0,4.0
72,2010,3.0,1.0,1.0,1.0,4.0,5.0,5.0
74,2010,1.0,1.0,1.0,1.0,4.0,1.0,5.0
80,2010,2.0,1.0,1.0,1.0,4.0,3.0,
87,2010,3.0,,,,2.0,2.0,5.0
88,2010,2.0,1.0,1.0,1.0,2.0,1.0,4.0
90,2010,3.0,,,,3.0,3.0,4.0
91,2010,3.0,,,,2.0,4.0,2.0
93,2010,2.0,1.0,0.0,0.0,5.0,4.0,4.0
95,2010,3.0,0.0,0.0,1.0,3.0,2.0,4.0
97,2010,2.0,0.0,0.0,1.0,5.0,4.0,4.0
98,2010,2.0,,,,3.0,5.0,5.0
104,2010,0.0,1.0,0.0,1.0,4.0,5.0,5.0
106,2010,4.0,1.0,1.0,1.0,5.0,5.0,3.0
108,2010,3.0,1.0,0.0,1.0,5.0,2.0,5.0
109,2010,3.0,0.0,1.0,1.0,5.0,4.0,4.0
110,2010,1.0,1.0,1.0,1.0,,,
114,2010,4.0,0.0,0.0,1.0,5.0,5.0,5.0
115,2010,2.0,,,,,,
116,2010,3.0,0.0,1.0,0.0,3.0,1.0,5.0
123,2010,2.0,1.0,1.0,1.0,4.0,5.0,2.0
124,2010,4.0,,,,2.0,5.0,5.0
125,2010,2.0,1.0,1.0,1.0,1.0,,
128,2010,2.0,1.0,0.0,1.0,,,
129,2010,2.0,1.0,0.0,1.0,4.0,4.0,4.0
130,2010,2.0,0.0,1.0,1.0,5.0,3.0,4.0
131,2010,1.0,1.0,1.0,1.0,1.0,3.0,
132,2010,2.0,1.0,1.0,1.0,4.0,4.0,2.0
134,2010,2.0,0.0,1.0,1.0,1.0,4.0,4.0
138,2010,3.0,1.0,0.0,1.0,1.0,1.0,2.0
141,2010,1.0,1.0,1.0,1.0,1.0,3.0,5.0
143,2010,2.0,1.0,0.0,1.0,3.0,3.0,3.0
146,2010,3.0,1.0,1.0,1.0,5.0,4.0,4.0
147,2010,2.0,0.0,0.0,0.0,4.0,5.0,4.0
148,2010,3.0,0.0,1.0,1.0,4.0,4.0,4.0
149,2010,2.0,1.0,1.0,1.0,3.0,3.0,3.0
150,2010,3.0,0.0,1.0,1.0,5.0,4.0,5.0
151,2010,1.0,0.0,0.0,1.0,1.0,5.0,5.0
152,2010,1.0,0.0,1.0,0.0,4.0,4.0,4.0
161,2010,1.0,0.0,0.0,1.0,4.0,5.0,4.0
162,2010,2.0,1.0,1.0,1.0,4.0,3.0,4.0
163,2010,1.0,1.0,1.0,1.0,1.0,1.0,5.0
164,2010,1.0,1.0,1.0,1.0,2.0,4.0,5.0
165,2010,1.0,,,,5.0,1.0,4.0
167,2010,1.0,1.0,1.0,1.0,1.0,2.0,5.0
168,2010,3.0,0.0,1.0,1.0,4.0,5.0,5.0
172,2010,0.0,1.0,1.0,1.0,2.0,4.0,4.0
176,2010,0.0,1.0,0.0,1.0,4.0,5.0,3.0
178,2010,2.0,0.0,1.0,0.0,4.0,2.0,4.0
179,2010,3.0,,,,4.0,5.0,5.0
182,2010,3.0,1.0,1.0,1.0,4.0,5.0,2.0
185,2010,3.0,1.0,1.0,1.0,1.0,1.0,5.0
187,2010,3.0,0.0,1.0,0.0,1.0,2.0,4.0
189,2010,2.0,1.0,0.0,0.0,4.0,2.0,4.0
192,2010,4.0,1.0,1.0,1.0,5.0,5.0,2.0
194,2010,3.0,0.0,0.0,1.0,3.0,3.0,3.0
195,2010,3.0,1.0,1.0,1.0,4.0,1.0,4.0
199,2010,2.0,1.0,1.0,1.0,5.0,2.0,4.0
201,2010,2.0,0.0,0.0,1.0,5.0,5.0,4.0
202,2010,2.0,1.0,0.0,1.0,5.0,4.0,3.0
205,2010,1.0,0.0,0.0,0.0,2.0,3.0,4.0
210,2010,2.0,,,,2.0,3.0,5.0
211,2010,0.0,1.0,0.0,1.0,,,
214,2010,1.0,1.0,1.0,1.0,1.0,2.0,5.0
216,2010,2.0,1.0,1.0,1.0,2.0,3.0,5.0
222,2010,3.0,0.0,1.0,0.0,4.0,3.0,2.0
223,2010,1.0,1.0,1.0,1.0,5.0,1.0,5.0
224,2010,0.0,0.0,1.0,1.0,5.0,,
225,2010,4.0,1.0,1.0,1.0,5.0,4.0,4.0
226,2010,3.0,0.0,1.0,1.0,4.0,4.0,2.0
229,2010,2.0,,,,3.0,3.0,3.0
233,2010,4.0,0.0,1.0,1.0,1.0,1.0,5.0
234,2010,2.0,,,,4.0,4.0,4.0
237,2010,1.0,0.0,1.0,1.0,5.0,4.0,4.0
239,2010,3.0,0.0,0.0,1.0,,,
240,2010,0.0,1.0,0.0,1.0,,,
241,2010,2.0,1.0,0.0,1.0,5.0,3.0,5.0
246,2010,2.0,0.0,1.0,1.0,,,
250,2010,2.0,1.0,1.0,1.0,2.0,4.0,4.0
252,2010,2.0,0.0,1.0,1.0,5.0,4.0,2.0
254,2010,1.0,1.0,0.0,1.0,,,
256,2010,0.0,0.0,1.0,1.0,5.0,1.0,5.0
257,2010,2.0,,,,2.0,2.0,5.0
261,2010,4.0,1.0,1.0,1.0,1.0,1.0,5.0
262,2010,4.0,0.0,1.0,1.0,4.0,1.0,5.0
263,2010,0.0,0.0,0.0,1.0,1.0,4.0,5.0
264,2010,1.0,0.0,0.0,1.0,5.0,1.0,5.0
269,2010,3.0,0.0,1.0,1.0,4.0,4.0,5.0
270,2010,2.0,1.0,1.0,1.0,4.0,2.0,5.0
271,2010,3.0,1.0,1.0,1.0,,,
272,2010,2.0,1.0,0.0,1.0,5.0,5.0,4.0
274,2010,1.0,1.0,1.0,1.0,1.0,,
275,2010,4.0,1.0,1.0,1.0,5.0,4.0,4.0
279,2010,0.0,,,,5.0,4.0,2.0
280,2010,3.0,1.0,1.0,1.0,4.0,5.0,5.0
281,2010,2.0,1.0,1.0,1.0,4.0,3.0,4.0
282,2010,2.0,0.0,0.0,1.0,1.0,1.0,5.0
283,2010,1.0,1.0,1.0,1.0,,,
286,2010,1.0,1.0,1.0,1.0,,,
287,2010,3.0,1.0,0.0,1.0,,,
288,2010,2.0,0.0,0.0,1.0,5.0,3.0,3.0
290,2010,1.0,1.0,1.0,0.0,4.0,4.0,4.0
291,2010,1.0,1.0,1.0,1.0,3.0,3.0,3.0
292,2010,3.0,1.0,1.0,1.0,1.0,1.0,5.0
294,2010,3.0,1.0,1.0,1.0,5.0,,
295,2010,3.0,1.0,1.0,1.0,4.0,5.0,4.0
300,2010,4.0,1.0,1.0,1.0,5.0,1.0,5.0
302,2010,2.0,1.0,1.0,1.0,5.0,5.0,2.0
303,2010,0.0,0.0,1.0,1.0,1.0,1.0,1.0
306,2010,4.0,1.0,1.0,1.0,2.0,1.0,5.0
307,2010,4.0,,,,1.0,1.0,5.0
311,2010,3.0,1.0,0.0,1.0,5.0,4.0,2.0
312,2010,2.0,1.0,1.0,1.0,5.0,1.0,5.0
314,2010,1.0,1.0,0.0,1.0,1.0,5.0,4.0
315,2010,2.0,,,,3.0,5.0,5.0
316,2010,2.0,1.0,0.0,1.0,4.0,4.0,4.0
318,2010,0.0,1.0,1.0,1.0,2.0,4.0,3.0
321,2010,2.0,0.0,0.0,1.0,4.0,3.0,4.0
323,2010,1.0,,,,2.0,4.0,5.0
326,2010,3.0,1.0,1.0,1.0,5.0,5.0,5.0
328,2010,4.0,0.0,1.0,1.0,5.0,4.0,5.0
331,2010,2.0,0.0,0.0,0.0,5.0,5.0,2.0
332,2010,2.0,1.0,1.0,1.0,2.0,3.0,4.0
335,2010,3.0,0.0,0.0,0.0,5.0,5.0,4.0
336,2010,4.0,1.0,1.0,1.0,,,
338,2010,4.0,1.0,1.0,1.0,5.0,5.0,4.0
339,2010,2.0,1.0,1.0,1.0,2.0,5.0,5.0
342,2010,3.0,1.0,1.0,1.0,4.0,4.0,2.0
343,2010,2.0,0.0,0.0,0.0,3.0,3.0,1.0
345,2010,2.0,1.0,1.0,1.0,,,
347,2010,1.0,1.0,1.0,1.0,2.0,5.0,1.0
348,2010,3.0,0.0,0.0,0.0,5.0,1.0,1.0
351,2010,4.0,0.0,1.0,1.0,4.0,5.0,2.0
353,2010,3.0,1.0,0.0,1.0,5.0,4.0,4.0
355,2010,2.0,,,,,,
356,2010,2.0,1.0,1.0,1.0,4.0,3.0,5.0
357,2010,1.0,1.0,1.0,1.0,1.0,1.0,5.0
359,2010,1.0,1.0,1.0,1.0,5.0,5.0,1.0
360,2010,1.0,0.0,1.0,0.0,4.0,,
362,2010,3.0,,,,1.0,2.0,5.0
363,2010,1.0,1.0,1.0,1.0,2.0,3.0,4.0
364,2010,0.0,,,,5.0,5.0,4.0
369,2010,2.0,1.0,1.0,1.0,2.0,2.0,2.0
370,2010,4.0,0.0,1.0,0.0,1.0,4.0,4.0
373,2010,1.0,,,,5.0,1.0,5.0
381,2010,2.0,1.0,1.0,1.0,3.0,3.0,5.0
389,2010,1.0,1.0,1.0,1.0,3.0,4.0,2.0
390,2010,0.0,0.0,0.0,1.0,1.0,1.0,2.0
396,2010,4.0,1.0,0.0,1.0,1.0,2.0,1.0
397,2010,4.0,,,,1.0,3.0,4.0
404,2010,2.0,1.0,1.0,1.0,3.0,3.0,3.0
406,2010,2.0,0.0,1.0,1.0,4.0,4.0,2.0
412,2010,2.0,0.0,0.0,1.0,1.0,2.0,5.0
415,2010,3.0,1.0,1.0,1.0,1.0,4.0,4.0
418,2010,1.0,0.0,1.0,1.0,5.0,3.0,2.0
420,2010,1.0,1.0,1.0,1.0,3.0,3.0,3.0
421,2010,1.0,1.0,1.0,1.0,1.0,4.0,4.0
422,2010,2.0,1.0,0.0,1.0,5.0,4.0,2.0
424,2010,2.0,0.0,0.0,1.0,1.0,1.0,5.0
425,2010,1.0,0.0,1.0,0.0,,,
427,2010,2.0,1.0,0.0,0.0,2.0,2.0,5.0
429,2010,0.0,0.0,0.0,1.0,3.0,3.0,5.0
432,2010,3.0,0.0,0.0,1.0,1.0,1.0,5.0
434,2010,1.0,1.0,1.0,1.0,1.0,,
435,2010,2.0,1.0,1.0,1.0,,,
436,2010,2.0,1.0,1.0,1.0,1.0,4.0,3.0
437,2010,4.0,1.0,1.0,1.0,2.0,1.0,4.0
438,2010,2.0,1.0,1.0,1.0,2.0,2.0,3.0
443,2010,3.0,0.0,1.0,1.0,1.0,1.0,5.0
447,2010,4.0,1.0,1.0,1.0,2.0,2.0,5.0
448,2010,2.0,1.0,1.0,1.0,2.0,4.0,2.0
449,2010,2.0,0.0,0.0,1.0,4.0,3.0,5.0
450,2010,2.0,0.0,1.0,1.0,5.0,5.0,5.0
452,2010,2.0,1.0,1.0,1.0,1.0,1.0,4.0
454,2010,0.0,1.0,1.0,1.0,1.0,1.0,5.0
