RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,BR_SR_inhouse,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
3,2013,0.0,2.0,1.0,3.0,4.0,3.0
4,2013,0.0,1.0,0.0,4.0,4.0,3.0
7,2013,1.0,2.0,1.0,5.0,5.0,5.0
10,2013,1.0,2.0,0.0,1.0,4.0,
11,2013,0.0,3.0,0.0,1.0,5.0,5.0
12,2013,1.0,3.0,0.0,3.0,3.0,3.0
13,2013,0.0,0.0,1.0,3.0,4.0,4.0
14,2013,0.0,2.0,1.0,3.0,5.0,5.0
15,2013,1.0,2.0,1.0,5.0,4.0,5.0
16,2013,0.0,1.0,1.0,5.0,5.0,2.0
17,2013,1.0,0.0,1.0,1.0,1.0,1.0
24,2013,1.0,0.0,0.0,2.0,4.0,4.0
28,2013,0.0,2.0,1.0,1.0,4.0,4.0
29,2013,0.0,1.0,1.0,,,
30,2013,0.0,2.0,0.0,,,
32,2013,0.0,1.0,0.0,5.0,5.0,3.0
33,2013,0.0,2.0,0.0,1.0,1.0,1.0
40,2013,0.0,0.0,1.0,1.0,3.0,3.0
42,2013,0.0,3.0,0.0,1.0,1.0,5.0
44,2013,1.0,0.0,1.0,1.0,1.0,5.0
47,2013,1.0,1.0,0.0,4.0,4.0,2.0
48,2013,0.0,3.0,0.0,4.0,2.0,5.0
49,2013,0.0,2.0,0.0,3.0,3.0,3.0
52,2013,1.0,3.0,0.0,5.0,1.0,5.0
53,2013,1.0,0.0,1.0,1.0,4.0,5.0
55,2013,1.0,0.0,1.0,1.0,1.0,1.0
58,2013,1.0,2.0,1.0,3.0,5.0,4.0
63,2013,1.0,2.0,0.0,4.0,3.0,3.0
65,2013,1.0,2.0,0.0,1.0,1.0,5.0
67,2013,1.0,3.0,1.0,3.0,4.0,5.0
68,2013,0.0,3.0,1.0,4.0,2.0,4.0
71,2013,0.0,0.0,1.0,2.0,1.0,5.0
72,2013,0.0,2.0,0.0,1.0,1.0,5.0
77,2013,1.0,3.0,1.0,3.0,4.0,5.0
78,2013,1.0,2.0,0.0,2.0,2.0,5.0
81,2013,1.0,0.0,1.0,1.0,1.0,4.0
82,2013,1.0,2.0,0.0,3.0,5.0,3.0
84,2013,1.0,3.0,1.0,2.0,3.0,2.0
85,2013,1.0,2.0,0.0,5.0,5.0,5.0
86,2013,0.0,2.0,1.0,2.0,4.0,4.0
91,2013,1.0,4.0,1.0,1.0,5.0,5.0
94,2013,0.0,1.0,1.0,4.0,4.0,2.0
96,2013,0.0,1.0,0.0,1.0,2.0,5.0
97,2013,1.0,4.0,1.0,4.0,2.0,4.0
100,2013,1.0,1.0,1.0,3.0,4.0,3.0
101,2013,1.0,0.0,,5.0,5.0,1.0
102,2013,1.0,2.0,1.0,5.0,5.0,5.0
103,2013,1.0,3.0,1.0,3.0,2.0,3.0
105,2013,1.0,1.0,0.0,5.0,4.0,5.0
106,2013,0.0,0.0,1.0,1.0,4.0,5.0
107,2013,0.0,1.0,0.0,2.0,5.0,4.0
108,2013,0.0,2.0,1.0,3.0,5.0,5.0
111,2013,1.0,2.0,0.0,2.0,4.0,4.0
113,2013,0.0,2.0,0.0,3.0,3.0,3.0
114,2013,1.0,2.0,1.0,4.0,3.0,5.0
115,2013,0.0,1.0,1.0,1.0,2.0,5.0
116,2013,1.0,1.0,1.0,3.0,2.0,4.0
117,2013,0.0,2.0,0.0,5.0,4.0,4.0
118,2013,0.0,0.0,0.0,1.0,1.0,1.0
124,2013,1.0,3.0,1.0,4.0,5.0,4.0
125,2013,1.0,4.0,1.0,5.0,5.0,4.0
126,2013,1.0,2.0,1.0,2.0,4.0,4.0
127,2013,0.0,2.0,0.0,1.0,1.0,4.0
128,2013,1.0,2.0,0.0,2.0,4.0,4.0
129,2013,1.0,2.0,0.0,5.0,5.0,5.0
130,2013,1.0,2.0,1.0,1.0,5.0,5.0
131,2013,1.0,3.0,0.0,4.0,4.0,4.0
132,2013,0.0,2.0,1.0,1.0,1.0,5.0
133,2013,0.0,2.0,1.0,1.0,1.0,5.0
134,2013,0.0,4.0,1.0,2.0,1.0,5.0
135,2013,1.0,3.0,1.0,3.0,3.0,3.0
136,2013,0.0,3.0,0.0,1.0,1.0,5.0
137,2013,0.0,3.0,0.0,4.0,5.0,5.0
138,2013,0.0,3.0,1.0,3.0,4.0,4.0
140,2013,0.0,3.0,1.0,2.0,3.0,5.0
141,2013,0.0,3.0,0.0,5.0,4.0,4.0
142,2013,0.0,0.0,1.0,1.0,2.0,5.0
147,2013,1.0,3.0,1.0,2.0,2.0,2.0
149,2013,0.0,1.0,1.0,3.0,5.0,4.0
150,2013,0.0,2.0,1.0,4.0,4.0,4.0
151,2013,1.0,4.0,1.0,2.0,4.0,5.0
152,2013,0.0,0.0,0.0,2.0,2.0,4.0
153,2013,1.0,1.0,1.0,2.0,1.0,5.0
154,2013,1.0,3.0,1.0,2.0,1.0,3.0
155,2013,0.0,1.0,1.0,1.0,1.0,5.0
157,2013,0.0,2.0,1.0,3.0,4.0,4.0
159,2013,1.0,4.0,1.0,2.0,2.0,4.0
161,2013,0.0,2.0,1.0,5.0,5.0,2.0
162,2013,0.0,1.0,1.0,3.0,4.0,4.0
173,2013,0.0,2.0,1.0,,,
178,2013,1.0,2.0,0.0,2.0,3.0,5.0
181,2013,1.0,1.0,1.0,1.0,1.0,5.0
182,2013,0.0,1.0,1.0,1.0,5.0,4.0
183,2013,1.0,3.0,0.0,3.0,4.0,4.0
185,2013,1.0,2.0,1.0,,,
186,2013,1.0,2.0,1.0,4.0,5.0,5.0
187,2013,1.0,3.0,0.0,3.0,4.0,4.0
188,2013,0.0,1.0,1.0,1.0,5.0,5.0
189,2013,1.0,3.0,1.0,5.0,5.0,2.0
191,2013,1.0,3.0,1.0,1.0,4.0,4.0
192,2013,0.0,2.0,1.0,2.0,5.0,5.0
194,2013,0.0,3.0,1.0,1.0,4.0,4.0
196,2013,1.0,3.0,1.0,5.0,5.0,4.0
197,2013,1.0,3.0,1.0,4.0,5.0,5.0
198,2013,0.0,3.0,1.0,4.0,5.0,5.0
199,2013,1.0,3.0,1.0,2.0,3.0,3.0
200,2013,0.0,4.0,1.0,,,
202,2013,1.0,2.0,1.0,,,
204,2013,1.0,2.0,0.0,,,
208,2013,1.0,2.0,1.0,2.0,4.0,4.0
210,2013,0.0,3.0,1.0,4.0,5.0,5.0
216,2013,0.0,1.0,1.0,4.0,2.0,2.0
218,2013,0.0,4.0,0.0,4.0,3.0,4.0
223,2013,1.0,2.0,1.0,2.0,1.0,5.0
226,2013,0.0,2.0,1.0,2.0,2.0,5.0
227,2013,1.0,2.0,0.0,5.0,4.0,4.0
228,2013,0.0,2.0,1.0,1.0,1.0,5.0
229,2013,1.0,3.0,1.0,1.0,1.0,5.0
230,2013,1.0,3.0,1.0,2.0,4.0,2.0
231,2013,0.0,4.0,1.0,3.0,3.0,4.0
232,2013,1.0,3.0,1.0,4.0,4.0,4.0
233,2013,1.0,2.0,1.0,4.0,1.0,4.0
234,2013,1.0,2.0,0.0,3.0,5.0,5.0
236,2013,1.0,1.0,1.0,2.0,4.0,4.0
237,2013,1.0,2.0,0.0,1.0,1.0,4.0
238,2013,1.0,4.0,1.0,4.0,5.0,4.0
239,2013,1.0,2.0,1.0,1.0,1.0,5.0
241,2013,0.0,2.0,1.0,1.0,1.0,5.0
245,2013,0.0,4.0,1.0,1.0,1.0,5.0
246,2013,0.0,3.0,1.0,4.0,2.0,5.0
247,2013,0.0,2.0,0.0,2.0,4.0,4.0
248,2013,0.0,2.0,1.0,2.0,1.0,1.0
249,2013,1.0,4.0,1.0,1.0,1.0,4.0
250,2013,0.0,2.0,0.0,4.0,5.0,4.0
251,2013,0.0,2.0,1.0,4.0,4.0,4.0
253,2013,0.0,3.0,0.0,1.0,1.0,1.0
254,2013,0.0,3.0,0.0,2.0,2.0,4.0
255,2013,1.0,0.0,1.0,3.0,3.0,4.0
256,2013,0.0,0.0,1.0,5.0,5.0,1.0
258,2013,1.0,2.0,1.0,1.0,1.0,1.0
261,2013,0.0,3.0,1.0,2.0,2.0,5.0
262,2013,0.0,3.0,1.0,2.0,1.0,5.0
263,2013,1.0,3.0,1.0,,,
264,2013,0.0,2.0,0.0,3.0,4.0,5.0
265,2013,0.0,2.0,1.0,4.0,4.0,4.0
266,2013,0.0,2.0,0.0,4.0,4.0,4.0
267,2013,0.0,3.0,1.0,2.0,4.0,4.0
268,2013,0.0,2.0,0.0,2.0,2.0,4.0
269,2013,0.0,2.0,0.0,4.0,4.0,2.0
272,2013,1.0,2.0,1.0,5.0,5.0,1.0
273,2013,1.0,2.0,1.0,1.0,3.0,5.0
275,2013,1.0,2.0,1.0,3.0,4.0,2.0
276,2013,1.0,3.0,0.0,2.0,2.0,4.0
277,2013,0.0,1.0,0.0,4.0,1.0,5.0
278,2013,1.0,1.0,1.0,4.0,4.0,5.0
279,2013,0.0,2.0,1.0,2.0,2.0,4.0
281,2013,0.0,2.0,1.0,2.0,5.0,2.0
282,2013,0.0,3.0,1.0,,,
284,2013,0.0,3.0,1.0,4.0,4.0,4.0
285,2013,1.0,2.0,1.0,3.0,4.0,4.0
286,2013,1.0,2.0,1.0,4.0,1.0,5.0
288,2013,1.0,1.0,1.0,2.0,3.0,4.0
289,2013,0.0,4.0,1.0,1.0,4.0,5.0
290,2013,0.0,0.0,1.0,1.0,3.0,5.0
291,2013,0.0,1.0,1.0,4.0,5.0,4.0
292,2013,0.0,2.0,1.0,4.0,4.0,4.0
293,2013,1.0,3.0,1.0,5.0,4.0,3.0
294,2013,0.0,4.0,1.0,3.0,2.0,5.0
295,2013,1.0,1.0,1.0,1.0,2.0,5.0
297,2013,0.0,3.0,1.0,2.0,2.0,4.0
298,2013,0.0,2.0,0.0,4.0,2.0,4.0
299,2013,0.0,3.0,1.0,3.0,4.0,3.0
300,2013,0.0,3.0,1.0,3.0,3.0,5.0
301,2013,0.0,3.0,1.0,2.0,2.0,4.0
303,2013,0.0,2.0,0.0,4.0,5.0,4.0
306,2013,0.0,2.0,1.0,1.0,3.0,4.0
307,2013,0.0,2.0,0.0,4.0,1.0,5.0
310,2013,0.0,2.0,0.0,4.0,4.0,4.0
312,2013,1.0,3.0,0.0,1.0,4.0,5.0
313,2013,0.0,2.0,1.0,1.0,1.0,1.0
315,2013,0.0,2.0,1.0,1.0,1.0,5.0
317,2013,1.0,3.0,1.0,3.0,5.0,5.0
320,2013,0.0,1.0,0.0,1.0,1.0,4.0
321,2013,0.0,3.0,1.0,3.0,2.0,4.0
322,2013,0.0,4.0,1.0,2.0,1.0,5.0
323,2013,1.0,3.0,1.0,4.0,3.0,3.0
324,2013,0.0,2.0,0.0,4.0,5.0,3.0
326,2013,1.0,0.0,0.0,2.0,4.0,4.0
