RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50005,2020,1.0,3.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0
50007,2020,1.0,4.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0
50008,2020,1.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,4.0
50009,2020,1.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,3.0
50010,2020,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
50011,2020,1.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0
50012,2020,1.0,4.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0
50013,2020,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
50014,2020,1.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0
50015,2020,1.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0
50016,2020,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0
50017,2020,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0
50018,2020,1.0,4.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0
50019,2020,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
50020,2020,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
50021,2020,1.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0
50022,2020,0.0,3.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0
50023,2020,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0
50024,2020,0.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0
50025,2020,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0
50029,2020,0.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0
50031,2020,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0
50034,2020,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0
50036,2020,0.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
50037,2020,0.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0
50040,2020,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0
50041,2020,1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0
50043,2020,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0
50046,2020,1.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0
50047,2020,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
50050,2020,0.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
50053,2020,0.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0
50056,2020,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0
50057,2020,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0
50059,2020,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0
50060,2020,1.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0
50064,2020,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0
50065,2020,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
50067,2020,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
50072,2020,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
50073,2020,0.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0
50074,2020,0.0,3.0,0.0,0.0,1.0,1.0,4.0,4.0,2.0
50075,2020,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
50077,2020,1.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
50079,2020,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0
50081,2020,0.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0
50082,2020,0.0,3.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0
50083,2020,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
50084,2020,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
50088,2020,0.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0
50089,2020,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
50090,2020,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0
50100,2020,1.0,1.0,2.0,1.0,0.0,1.0,4.0,3.0,3.0
50101,2020,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0
50102,2020,0.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0
