RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50002,2021,1.0,3.0,1.0,1.0,1.0,5.0,1.0,5.0
50008,2021,0.0,4.0,0.0,1.0,1.0,5.0,1.0,4.0
50010,2021,1.0,1.0,1.0,0.0,1.0,4.0,5.0,1.0
50017,2021,1.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0
50019,2021,0.0,1.0,0.0,0.0,0.0,3.0,4.0,4.0
50023,2021,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
50024,2021,0.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0
50025,2021,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0
50028,2021,1.0,4.0,0.0,1.0,1.0,4.0,1.0,5.0
50029,2021,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0
50035,2021,1.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0
50037,2021,1.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0
50038,2021,1.0,1.0,0.0,1.0,1.0,4.0,5.0,3.0
50039,2021,0.0,0.0,1.0,1.0,1.0,3.0,3.0,5.0
50044,2021,1.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0
50049,2021,0.0,2.0,0.0,0.0,1.0,5.0,5.0,5.0
50059,2021,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0
50063,2021,0.0,2.0,1.0,0.0,1.0,2.0,4.0,4.0
50065,2021,1.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0
50066,2021,1.0,3.0,0.0,0.0,1.0,4.0,4.0,4.0
50070,2021,0.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0
50071,2021,1.0,3.0,1.0,0.0,1.0,4.0,5.0,2.0
50072,2021,0.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0
50075,2021,1.0,2.0,1.0,0.0,1.0,3.0,1.0,4.0
50080,2021,0.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0
50081,2021,0.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0
50082,2021,1.0,4.0,0.0,0.0,1.0,3.0,5.0,4.0
50083,2021,1.0,2.0,1.0,1.0,0.0,3.0,4.0,5.0
50084,2021,1.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0
50085,2021,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0
50086,2021,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0
50087,2021,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
50089,2021,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0
50091,2021,0.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0
50092,2021,0.0,4.0,1.0,1.0,1.0,4.0,5.0,4.0
50095,2021,0.0,3.0,0.0,0.0,1.0,3.0,3.0,3.0
50098,2021,0.0,2.0,0.0,0.0,1.0,3.0,4.0,4.0
50100,2021,1.0,3.0,1.0,1.0,1.0,5.0,4.0,4.0
50101,2021,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0
50103,2021,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0
50106,2021,1.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0
50109,2021,0.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0
50111,2021,0.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0
50116,2021,1.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0
