RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
1,2009,-9,8,-9,-9,0,0,-9,-9,-9
2,2009,2,8,-9,-9,0,1,1,3,3
3,2009,1,3,-9,-9,1,1,3,2,4
4,2009,1,-9,-9,-9,-9,-9,-9,-9,-9
5,2009,1,8,1,1,1,1,-9,-9,-9
6,2009,1,3,3,0,0,1,5,5,4
7,2009,1,6,-9,1,1,1,1,1,1
8,2009,1,6,3,1,0,0,5,4,2
9,2009,1,8,3,1,1,1,5,1,1
10,2009,1,4,2,1,1,1,1,1,5
11,2009,1,8,3,-9,1,1,1,1,3
12,2009,2,-9,2,1,0,1,-9,-9,-9
13,2009,1,8,-9,-9,1,1,1,2,3
14,2009,1,2,3,1,0,0,3,3,3
15,2009,1,5,3,1,1,1,5,4,5
16,2009,1,8,1,1,1,1,1,1,3
17,2009,1,8,3,1,0,1,1,5,5
18,2009,-9,-9,1,1,-9,-9,-9,-9,-9
19,2009,-9,-9,1,1,-9,-9,-9,-9,-9
20,2009,1,5,2,1,1,1,3,3,3
21,2009,1,1,3,1,0,1,1,5,3
22,2009,-9,8,3,1,0,1,1,3,5
23,2009,1,8,2,0,1,1,3,3,3
24,2009,1,4,1,1,1,1,5,5,4
25,2009,1,8,1,0,1,1,5,1,5
26,2009,-9,-9,1,1,-9,-9,-9,-9,-9
27,2009,1,6,-9,0,0,0,5,1,4
28,2009,1,1,3,1,1,1,4,5,1
29,2009,2,8,2,0,1,1,3,3,3
30,2009,1,8,3,1,1,1,1,2,2
31,2009,2,2,2,1,1,1,4,5,4
32,2009,2,8,-9,1,1,0,5,5,5
33,2009,2,8,3,0,1,1,4,5,4
34,2009,1,8,2,0,0,1,-9,-9,-9
35,2009,2,8,1,1,1,1,4,5,2
36,2009,2,3,1,1,1,1,3,4,4
37,2009,2,8,-9,1,1,1,2,2,1
38,2009,2,3,2,1,1,1,5,5,4
39,2009,2,8,3,1,1,1,4,1,4
40,2009,1,3,3,0,0,0,-9,-9,-9
41,2009,2,8,1,1,0,1,2,3,4
42,2009,2,8,2,1,1,1,5,3,5
43,2009,2,8,-9,-9,0,1,3,5,4
44,2009,2,8,-9,-9,1,1,3,3,4
45,2009,2,2,-9,-9,1,1,2,2,3
46,2009,1,8,3,1,1,1,4,5,4
47,2009,2,1,1,1,0,1,1,1,1
48,2009,2,1,1,1,0,1,4,2,4
49,2009,1,8,3,1,0,1,4,5,4
50,2009,1,3,1,0,0,1,3,3,4
51,2009,2,8,1,1,0,1,4,1,5
52,2009,2,4,2,0,0,1,1,1,5
53,2009,-9,1,3,1,0,0,5,5,5
54,2009,-9,3,3,0,0,1,5,5,5
55,2009,1,4,3,0,0,1,4,4,4
56,2009,2,8,1,1,1,1,-9,-9,-9
57,2009,-9,-9,3,1,-9,-9,-9,-9,-9
58,2009,2,8,1,1,1,1,5,1,5
59,2009,1,8,1,1,1,1,5,1,3
60,2009,2,1,3,0,1,1,1,2,5
61,2009,1,3,2,0,1,1,1,1,5
62,2009,2,3,2,1,1,1,4,2,4
63,2009,-9,-9,2,0,-9,-9,-9,-9,-9
64,2009,1,2,-9,-9,1,0,5,2,3
65,2009,2,3,1,1,0,1,5,5,4
66,2009,2,3,2,1,1,1,5,5,5
67,2009,2,-9,2,1,0,1,4,5,2
68,2009,2,8,3,1,1,1,2,4,2
69,2009,1,4,2,1,1,1,-9,-9,-9
70,2009,2,8,3,1,0,1,5,4,2
71,2009,1,8,3,1,1,1,5,5,5
72,2009,2,4,3,1,0,1,2,5,5
73,2009,1,8,1,0,1,0,4,4,4
74,2009,2,4,3,0,1,1,5,5,2
75,2009,1,8,1,0,1,1,3,2,3
76,2009,2,4,3,0,1,1,5,5,1
77,2009,2,8,3,0,0,0,-9,-9,-9
78,2009,1,8,1,1,1,1,5,3,4
79,2009,2,8,2,1,1,1,3,5,5
80,2009,1,8,3,1,1,0,3,4,4
81,2009,1,2,2,1,1,0,4,4,5
82,2009,1,2,1,1,1,1,5,5,5
83,2009,1,8,2,1,1,0,3,1,4
84,2009,2,3,3,1,0,1,1,3,5
85,2009,1,3,1,1,1,1,2,4,4
86,2009,2,3,3,1,0,1,5,1,3
87,2009,2,2,1,0,1,1,4,2,5
88,2009,2,5,0,0,0,1,3,2,4
89,2009,2,4,3,0,1,1,5,5,5
90,2009,2,4,0,0,1,1,1,1,1
91,2009,2,8,-9,-9,1,1,4,5,2
92,2009,2,4,3,0,1,1,1,5,5
93,2009,2,8,3,0,1,1,5,3,1
94,2009,2,8,2,0,0,1,-9,-9,-9
95,2009,2,8,1,1,0,1,5,5,5
96,2009,2,8,3,1,0,0,-9,-9,-9
97,2009,2,8,3,0,0,1,4,5,2
98,2009,1,4,-9,-9,1,0,3,4,4
99,2009,1,4,-9,-9,1,1,4,4,5
100,2009,1,3,3,1,1,1,5,3,4
101,2009,2,4,-9,-9,1,1,4,1,5
102,2009,2,8,2,1,1,1,4,4,4
103,2009,2,3,3,1,1,1,2,4,5
104,2009,2,8,3,0,1,1,4,5,5
105,2009,1,8,3,1,1,1,1,5,4
106,2009,2,3,3,1,1,1,2,4,4
107,2009,2,2,0,0,1,1,2,5,5
108,2009,2,4,2,1,0,1,5,5,4
109,2009,2,8,-9,-9,1,0,4,1,5
110,2009,2,2,2,0,1,1,4,4,4
111,2009,1,8,3,1,0,1,5,1,5
112,2009,2,5,2,1,1,1,4,3,4
113,2009,2,3,3,0,1,1,5,1,3
114,2009,2,2,3,0,1,1,-9,-9,-9
115,2009,-9,-9,3,1,-9,-9,-9,-9,-9
116,2009,-9,8,2,1,0,0,5,5,5
117,2009,1,2,3,0,1,1,3,4,5
118,2009,2,3,1,0,1,0,3,1,5
119,2009,2,8,-9,-9,1,1,1,4,4
120,2009,2,3,1,1,1,1,1,3,5
121,2009,2,8,3,1,0,0,5,3,3
122,2009,2,8,1,1,0,0,5,5,3
123,2009,2,4,3,0,0,1,4,2,5
124,2009,2,3,3,1,0,1,3,3,4
125,2009,2,8,3,0,1,1,3,5,5
126,2009,1,8,3,0,0,1,4,4,4
127,2009,2,8,2,1,0,1,2,5,4
